,A,B,A+B
1,0,0,0
2,0,0.5,0.5
3,0,0.125,0.125
4,0,0.625,0.625
5,0,0.03125,0.03125
6,0,0.53125,0.53125
7,0,0.15625,0.15625
8,0,0.65625,0.65625
9,0,0.0078125,0.0078125
10,0,0.5078125,0.5078125
11,0,0.1328125,0.1328125
12,0,0.6328125,0.6328125
13,0,0.0390625,0.0390625
14,0,0.5390625,0.5390625
15,0,0.1640625,0.1640625
16,0,0.6640625,0.6640625
17,0,0.001953125,0.001953125
18,0,0.501953125,0.501953125
19,0,0.126953125,0.126953125
20,0,0.626953125,0.626953125
21,0,0.033203125,0.033203125
22,0,0.533203125,0.533203125
23,0,0.158203125,0.158203125
24,0,0.658203125,0.658203125
25,0,0.009765625,0.009765625
26,0,0.509765625,0.509765625
27,0,0.134765625,0.134765625
28,0,0.634765625,0.634765625
29,0,0.041015625,0.041015625
30,0,0.541015625,0.541015625
31,0,0.166015625,0.166015625
32,0,0.666015625,0.666015625
33,0,0.000488281,0.000488281
34,0,0.500488281,0.500488281
35,0,0.125488281,0.125488281
36,0,0.625488281,0.625488281
37,0,0.031738281,0.031738281
38,0,0.531738281,0.531738281
39,0,0.156738281,0.156738281
40,0,0.656738281,0.656738281
41,0,0.008300781,0.008300781
42,0,0.508300781,0.508300781
43,0,0.133300781,0.133300781
44,0,0.633300781,0.633300781
45,0,0.039550781,0.039550781
46,0,0.539550781,0.539550781
47,0,0.164550781,0.164550781
48,0,0.664550781,0.664550781
49,0,0.002441406,0.002441406
50,0,0.502441406,0.502441406
51,0,0.127441406,0.127441406
52,0,0.627441406,0.627441406
53,0,0.033691406,0.033691406
54,0,0.533691406,0.533691406
55,0,0.158691406,0.158691406
56,0,0.658691406,0.658691406
57,0,0.010253906,0.010253906
58,0,0.510253906,0.510253906
59,0,0.135253906,0.135253906
60,0,0.635253906,0.635253906
61,0,0.041503906,0.041503906
62,0,0.541503906,0.541503906
63,0,0.166503906,0.166503906
64,0,0.666503906,0.666503906
65,0,0.00012207,0.00012207
66,0,0.50012207,0.50012207
67,0,0.12512207,0.12512207
68,0,0.62512207,0.62512207
69,0,0.03137207,0.03137207
70,0,0.53137207,0.53137207
71,0,0.15637207,0.15637207
72,0,0.65637207,0.65637207
73,0,0.00793457,0.00793457
74,0,0.50793457,0.50793457
75,0,0.13293457,0.13293457
76,0,0.63293457,0.63293457
77,0,0.03918457,0.03918457
78,0,0.53918457,0.53918457
79,0,0.16418457,0.16418457
80,0,0.66418457,0.66418457
81,0,0.002075195,0.002075195
82,0,0.502075195,0.502075195
83,0,0.127075195,0.127075195
84,0,0.627075195,0.627075195
85,0,0.033325195,0.033325195
86,0,0.533325195,0.533325195
87,0,0.158325195,0.158325195
88,0,0.658325195,0.658325195
89,0,0.009887695,0.009887695
90,0,0.509887695,0.509887695
91,0,0.134887695,0.134887695
92,0,0.634887695,0.634887695
93,0,0.041137695,0.041137695
94,0,0.541137695,0.541137695
95,0,0.166137695,0.166137695
96,0,0.666137695,0.666137695
97,0,0.000610352,0.000610352
98,0,0.500610352,0.500610352
99,0,0.125610352,0.125610352
100,0,0.625610352,0.625610352
101,0,0.031860352,0.031860352
102,0,0.531860352,0.531860352
103,0,0.156860352,0.156860352
104,0,0.656860352,0.656860352
105,0,0.008422852,0.008422852
106,0,0.508422852,0.508422852
107,0,0.133422852,0.133422852
108,0,0.633422852,0.633422852
109,0,0.039672852,0.039672852
110,0,0.539672852,0.539672852
111,0,0.164672852,0.164672852
112,0,0.664672852,0.664672852
113,0,0.002563477,0.002563477
114,0,0.502563477,0.502563477
115,0,0.127563477,0.127563477
116,0,0.627563477,0.627563477
117,0,0.033813477,0.033813477
118,0,0.533813477,0.533813477
119,0,0.158813477,0.158813477
120,0,0.658813477,0.658813477
121,0,0.010375977,0.010375977
