,date,RSAFS,RSFSXMV,RSHPCS,RSGASS,RSCCAS,RSSGHBMS,RSGMS,RSDSELD,RSMSR,RSNSR,RSFSDP,RSXFS,break_inflate10,cpi,employ_rate,indust_prod,mortgage_rate30
0,2003-01-01,295248,225575,15441,23073,14565,5794,37740,17807,8565,16434,28018,267230,1.7542857142857144,0.442233278054161,71.590301041552,91.2395,5.916
1,2003-02-01,291167,224632,15534,23885,14142,5576,38030,17670,8372,16933,27979,263188,1.9126315789473685,0.770500825536602,71.520525572418,91.3384,5.8425
2,2003-03-01,296325,227697,15677,23968,14465,5660,38391,17763,8405,16764,28505,267820,1.8628571428571428,0.600764609502999,71.3962247233074,91.069,5.745
3,2003-04-01,295600,226020,15705,22581,14434,5709,38321,17687,8359,16593,28403,267197,1.7747619047619048,-0.217155266015187,71.3785560171925,90.4913,5.8125
4,2003-05-01,296410,226750,15791,21810,14651,5748,38483,17838,8525,16722,29048,267362,1.660952380952381,-0.163220892274219,71.2130606380087,90.4697,5.484
5,2003-06-01,299626,229301,15934,21777,14894,5908,38866,17912,8537,16938,29230,270396,1.6123809523809525,0.108991825613079,71.2152858842565,90.5899,5.23
6,2003-07-01,302747,231698,16182,22196,15141,5808,39404,18140,8497,17049,29395,273352,1.8659090909090907,0.108873162765379,70.9899525055814,91.0614,5.6325
7,2003-08-01,307809,234890,16345,23073,15089,6132,40085,18207,8618,17312,29844,277965,2.124761904761905,0.380641653072316,71.0028448672143,90.8452,6.264
8,2003-09-01,305933,234749,16339,23214,15175,5954,39896,18157,8442,17595,29503,276430,2.088095238095238,0.325027085590467,70.9193305384194,91.4453,6.1475
9,2003-10-01,304809,234992,16434,22714,15067,5841,39649,17889,8591,17778,30045,274764,2.214090909090909,-0.107991360691145,71.0562542022881,91.5595,5.952
10,2003-11-01,308527,236789,16500,23472,15338,6011,39945,17810,8530,17881,30229,278298,2.3361111111111112,-0.270270270270264,71.1372722212026,92.1763,5.9325
11,2003-12-01,307407,237304,16648,23994,15456,6013,40084,17791,8576,17742,29795,277612,2.2840909090909087,-0.108401084010841,71.1180680698462,92.2532,5.876
12,2004-01-01,309254,239984,16287,24889,15513,6087,40436,17800,8665,18275,30341,278913,2.263,0.48833423765599,71.2780213640104,92.4067,5.7125
13,2004-02-01,311393,240300,16133,25256,15687,6093,40519,17871,8481,18566,30461,280932,2.3221052631578947,0.539956803455712,71.2085764918784,92.9687,5.635
14,2004-03-01,316912,244775,16526,25679,15984,6067,41079,18165,8552,18072,30703,286209,2.361304347826087,0.644468313641263,71.0498755104184,92.6,5.445
15,2004-04-01,313512,243552,16476,25518,15567,5941,40662,17752,8685,18442,30560,282952,2.4447619047619047,0.320170757737461,71.1827375520786,92.9761,5.83
16,2004-05-01,318964,246143,16462,27011,15736,5985,41332,17921,8869,18351,30712,288252,2.6255,0.585106382978719,71.1316271293343,93.6446,6.27
17,2004-06-01,314958,245967,16570,27050,15555,6017,40756,17695,8446,18649,30825,284133,2.587619047619048,0.317292437863566,71.1071881156762,92.9303,6.2875
18,2004-07-01,318549,247311,16554,26745,15645,6124,41197,17888,8554,18927,31191,287358,2.473809523809524,-0.158144438587237,71.3039331222768,93.6109,6.056
19,2004-08-01,318977,247612,16610,26552,15660,6192,41323,17896,8567,19178,31036,287941,2.421818181818181,0.0527983104540587,71.2652375305179,93.6958,5.8675
20,2004-09-01,324569,249840,16635,27161,15764,6111,41555,17943,8596,19472,31430,293139,2.3266666666666667,0.211081794195252,71.1524084377982,93.7958,5.754
21,2004-10-01,326740,252882,16739,28656,16055,6094,42042,18016,8677,19675,31625,295115,2.368,0.526592943654557,71.2223628472311,94.6226,5.7225
22,2004-11-01,327836,254429,16813,29349,16044,6140,42179,17942,8877,19789,31659,296177,2.518,0.0523834468308086,71.3633425814826,94.8491,5.73
23,2004-12-01,331874,256487,16882,29046,16183,6122,42656,18137,8914,19942,32111,299763,2.5622727272727275,-0.366492146596853,71.3000935353956,95.5841,5.752
24,2005-01-01,328696,256613,17116,28375,16125,6192,42556,18034,8784,20237,32000,296696,2.498,0.210194429847596,71.3085884749495,95.9285,5.71
25,2005-02-01,333026,259253,17292,29015,16674,6269,43183,18173,8949,20175,32469,300557,2.534210526315789,0.576822233875206,71.2243994953807,96.6287,5.6275
26,2005-03-01,333581,259434,17245,29498,16293,6137,42949,17818,8890,20506,32273,301308,2.710454545454545,0.782064650677772,71.2667416166326,96.4907,5.928
27,2005-04-01,336583,262934,17350,30009,16636,6318,43601,18153,8839,20741,32823,303760,2.6352380952380954,0.672529746508014,71.4359440622127,96.6809,5.855
28,2005-05-01,334522,261297,17413,29140,16514,6232,43423,17808,8932,20568,32746,301776,2.490952380952381,-0.102774922918795,71.529195172953,96.7925,5.72
29,2005-06-01,343998,264359,17392,29889,16824,6135,44354,18263,8879,21024,33009,310989,2.323636363636364,0.0514403292181004,71.4949058844283,97.19,5.582
30,2005-07-01,346576,264971,17635,30976,16450,6239,44017,17858,8927,20988,33056,313520,2.301,0.462724935732656,71.6271914165424,96.8981,5.695
31,2005-08-01,343307,269520,17548,33399,16759,6274,44214,17822,8881,21767,33261,310046,2.3734782608695646,0.511770726714434,71.825859694845,97.2223,5.82
32,2005-09-01,343956,273329,17707,36116,16450,6155,44502,17557,9010,21951,33283,310673,2.5,1.22199592668025,71.6873740295124,95.3463,5.774
33,2005-10-01,344097,276244,17742,35911,17120,6377,45267,18070,9086,22255,33618,310479,2.521,0.201207243460752,71.6916608423074,96.4981,6.065
34,2005-11-01,347325,274114,17859,33185,17142,6287,45226,18048,9151,22461,34022,313303,2.4715,-0.803212851405626,71.5566824179752,97.5646,6.33
